S0,S1,S2,S3,main_pump,aux_pump,ultrasound,class
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,13,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,16,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,14,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,13,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,16,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,13,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,16,cyber_attack
1,0,0,0,0,0,14,cyber_attack
1,0,0,0,0,0,16,cyber_attack
1,0,0,0,0,0,16,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,14,cyber_attack
1,0,0,0,0,0,14,cyber_attack
1,0,0,0,0,0,16,cyber_attack
1,0,0,0,0,0,14,cyber_attack
1,0,0,0,0,0,14,cyber_attack
1,0,0,0,0,0,14,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,16,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,14,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,14,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,14,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,14,cyber_attack
1,0,0,0,0,0,13,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,16,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,14,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,14,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,13,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,14,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,16,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,16,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,16,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,16,cyber_attack
1,0,0,0,0,0,14,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,14,cyber_attack
1,0,0,0,0,0,14,cyber_attack
1,0,0,0,0,0,13,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,16,cyber_attack
1,0,0,0,0,0,14,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,16,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,13,cyber_attack
1,0,0,0,0,0,16,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,16,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,14,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,14,cyber_attack
1,0,0,0,0,0,14,cyber_attack
1,0,0,0,0,0,16,cyber_attack
1,0,0,0,0,0,14,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,16,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,16,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,14,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,14,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,16,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,14,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,16,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,14,cyber_attack
1,0,0,0,0,0,14,cyber_attack
1,0,0,0,0,0,16,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,14,cyber_attack
1,0,0,0,0,0,14,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,14,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,15,cyber_attack
1,0,0,0,0,0,14,cyber_attack
1,0,0,0,0,0,15,cyber_attack
